No;Course Category;Course Title;Course Topics;Content Type;Title;URL
64;Islamic Fundamental;Aqidah;Pentingnya Mengenal Allah;Video;Part 4 Untuk Apa Kita Hidup?;https://youtu.be/Cs7KwNjCvek
65;Islamic Fundamental;Aqidah;Pentingnya Mengenal Allah;Video;Part 5 Dalil dan Argumentasi yang Kuat;https://youtu.be/_S-A0BJ2F20
66;Islamic Fundamental;Aqidah;Pentingnya Mengenal Allah;Video;Part 6 Keuntungan Ma'rifatullah: Kemerdekaan;https://youtu.be/LJypXv_2pFM
67;Islamic Fundamental;Aqidah;Pentingnya Mengenal Allah;Video;Part 7 Keuntungan Ma'rifatullah: Ketentraman dan Keberkahan;https://youtu.be/oqWi42Xx46k
68;Islamic Fundamental;Aqidah;Pentingnya Mengenal Allah;Video;Part 8 Keuntungan Ma'rifatullah: Kehidupan yang Baik;https://youtu.be/tAw6N3vODyY
69;Islamic Fundamental;Aqidah;Pentingnya Mengenal Allah;Video;Part 9 Keuntungan Ma'rifatullah: Surga dan Ridho Allah;https://youtu.be/OLTj6EgN2QY
70;Islamic Fundamental;Aqidah;Tauhid Rububiyah, Uluhiyah, dan Asma wa Shifat;Video;Part 1 Mukadimah Tauhid;https://youtu.be/98fZBW1ECa0
71;Islamic Fundamental;Aqidah;Tauhid Rububiyah, Uluhiyah, dan Asma wa Shifat;Video;Part 2 Klasifikasi Tauhid;https://youtu.be/e28mhsyORf4
72;Islamic Fundamental;Aqidah;Tauhid Rububiyah, Uluhiyah, dan Asma wa Shifat;Video;Part 3 Tidak Dibenarkan Saling Mengingkari;https://youtu.be/_PLKaKK3cL0
73;Islamic Fundamental;Aqidah;Tauhid Rububiyah, Uluhiyah, dan Asma wa Shifat;Video;Part 4 Tauhid Rububiyah;https://youtu.be/UcQyxT6rJW8
74;Islamic Fundamental;Aqidah;Tauhid Rububiyah, Uluhiyah, dan Asma wa Shifat;Video;Part 5 Tauhid Uluhiyah;https://youtu.be/b55Y_0hi0_k
75;Islamic Fundamental;Aqidah;Tauhid Rububiyah, Uluhiyah, dan Asma wa Shifat;Video;Part 6 Tauhid Asma wa Shifat;https://youtu.be/vB1cSy2FHJk
76;Islamic Fundamental;Aqidah;Tauhid Rububiyah, Uluhiyah, dan Asma wa Shifat;Video;Part 7 Menyikapi Perbedaan dalam Memahami Sifat-sifat Allah;https://youtu.be/1FynNViIOs4
77;Islamic Fundamental;Aqidah;Meraih Keagungan Iman;Video;Part 1 Intro Meraih Keagungan Iman;https://youtu.be/Y0vAqoRTh_o
78;Islamic Fundamental;Aqidah;Meraih Keagungan Iman;Video;Part 2 Persepsi Sebagian Orang tentang Iman;https://youtu.be/PLqxtpOU6Ls
79;Islamic Fundamental;Aqidah;Meraih Keagungan Iman;Video;Part 3 Iman Lebih Utama;https://youtu.be/f6995bawdnY
80;Islamic Fundamental;Aqidah;Meraih Keagungan Iman;Video;Part 4 Energi Iman dan Rumitnya Hidup Tanpa Iman;https://youtu.be/UYu2EcvKF-Q
81;Islamic Fundamental;Aqidah;Meraih Keagungan Iman;Video;Part 5 Iman adalah Prestasi dan Energi;https://youtu.be/mpUkBv0Go_g
82;Islamic Fundamental;Aqidah;Meraih Keagungan Iman;Video;Part 6 Cara Meraih Keimanan;https://youtu.be/Q0fgL7kZvlU
83;Islamic Fundamental;Aqidah;Mulia Bersama Iman;Video;Part 1 Intro Mulia Bersama Islam;https://www.youtube.com/watch?v=aQhNysc0odE
84;Islamic Fundamental;Aqidah;Mulia Bersama Iman;Video;Part 2 Jalan Keselamatan;https://www.youtube.com/watch?v=PMzfkvn44og
85;Islamic Fundamental;Aqidah;Mulia Bersama Iman;Video;Part 3 Gelapnya Dunia;https://www.youtube.com/watch?v=HMqvwzVnnaQ
86;Islamic Fundamental;Aqidah;Mulia Bersama Iman;Video;Part 4 Rusaknya Jazirah Arab, Syair, dan Paganisme;https://www.youtube.com/watch?v=2Ux5LmLeCGE
87;Islamic Fundamental;Aqidah;Mulia Bersama Iman;Video;Part 5 Cahaya Itu Datang;https://www.youtube.com/watch?v=hy6bXguLjlE
88;Islamic Fundamental;Aqidah;Mulia Bersama Iman;Video;Part 6 Lahirnya Generasi Terbaik;https://www.youtube.com/watch?v=stg6h9s61Nw
89;Islamic Fundamental;Sirah Nabawiyah;Muqaddimah Materi Sirah Nabawiyah;Video;Part 1 Intro;https://youtu.be/uKzzb8lqky4
90;Islamic Fundamental;Sirah Nabawiyah;Muqaddimah Materi Sirah Nabawiyah;Video;Part 2 Definisi & Urgensi Sirah Nabawiyah;https://youtu.be/kutgKK2TmGc
91;Islamic Fundamental;Sirah Nabawiyah;Muqaddimah Materi Sirah Nabawiyah;Video;Part 3 Urgensi Sirah Nabawiyah Lanjutan;https://youtu.be/g0nJKmJiseY
92;Islamic Fundamental;Sirah Nabawiyah;Muqaddimah Materi Sirah Nabawiyah;Video;Part 4 Manfaat mempelajari Sirah Nabawiyah;https://youtu.be/lb_kiyONrH8
93;Islamic Fundamental;Sirah Nabawiyah;Muqaddimah Materi Sirah Nabawiyah;Video;Part 5 Manfaat mempelajari Sirah Nabawiyah lanjutan;https://youtu.be/w7fCmchOOD0
94;Islamic Fundamental;Sirah Nabawiyah;Kondisi Arab sebelum Islam;Video;Part 1 Intro;https://youtu.be/gs961PX3JuU
95;Islamic Fundamental;Sirah Nabawiyah;Kondisi Arab sebelum Islam;Video;Part 2 Karakter Masyarakat Jahiliyah;https://youtu.be/uOKcHmg3vLc
96;Islamic Fundamental;Sirah Nabawiyah;Kondisi Arab sebelum Islam;Video;Part 3 Tradisi Pernikahan Masyarakat Jahiliyah;https://youtu.be/wH7JsEKmMbI
97;Islamic Fundamental;Sirah Nabawiyah;Kondisi Arab sebelum Islam;Video;Part 4 Kerapuhan Kondisi Sosial Masyarakat Jahiliyah;https://youtu.be/o7hiUeoZf-g
98;Islamic Fundamental;Sirah Nabawiyah;Kondisi Arab sebelum Islam;Video;Part 5 Sisi Positif Masyarakat Jahiliyah;https://youtu.be/4aW2zaCIJDg
99;Islamic Fundamental;Sirah Nabawiyah;Kondisi Arab sebelum Islam;Video;Part 6 Kesimpulan;https://youtu.be/w6j040V6OOU
100;Islamic Fundamental;Sirah Nabawiyah;Akhlak Nabi sebelum Bi'tsah;Video;Part 1 Intro Materi Akhlak Nabi sebelum Bi'tsah;https://youtu.be/SksD0uO3Wgg
101;Islamic Fundamental;Sirah Nabawiyah;Akhlak Nabi sebelum Bi'tsah;Video;Part 2 Bangsa Arab Meninggalkan Ajaran Tauhid Nabi Ibrahim;https://youtu.be/liyfGWg6L6Y
102;Islamic Fundamental;Sirah Nabawiyah;Akhlak Nabi sebelum Bi'tsah;Video;Part 3 Akhlak dan Sifat Nabi Muhammad;https://youtu.be/tocRkxDE-Io
103;Islamic Fundamental;Sirah Nabawiyah;Akhlak Nabi sebelum Bi'tsah;Video;Part 4 Kesimpulan Materi Sirah 3;https://youtu.be/FkRLKC2GukM
104;Islamic Fundamental;Sirah Nabawiyah;Sejarah Kelahiran hingga Kenabian;Video;Part 1 Intro Kelahiran hingga Kenabian;https://youtu.be/2u9anbBHlcw
105;Islamic Fundamental;Sirah Nabawiyah;Sejarah Kelahiran hingga Kenabian;Video;Part 2 Dari lahir Hingga Balita;https://youtu.be/N8Km9nvCOyc
106;Islamic Fundamental;Sirah Nabawiyah;Sejarah Kelahiran hingga Kenabian;Video;Part 3 Masa Remaja Rasulullah;https://youtu.be/7OXZkp5BZHU
107;Islamic Fundamental;Sirah Nabawiyah;Sejarah Kelahiran hingga Kenabian;Video;Part 4 Masa Dewasa Rasulullah;https://youtu.be/oB8ZirLBpq0
108;Islamic Fundamental;Sirah Nabawiyah;Sejarah Kelahiran hingga Kenabian;Video;Part 5 Pembelajaran Dakwah dari Kisah Rasulullah (Part 1);https://youtu.be/1g6GCMncyVA
109;Islamic Fundamental;Sirah Nabawiyah;Sejarah Kelahiran hingga Kenabian;Video;Part 6 Pembelajaran Dakwah dari Kisah Rasulullah (Part 2);https://youtu.be/usCp1IySdS4
110;Islamic Fundamental;Sirah Nabawiyah;Sejarah Kelahiran hingga Kenabian;Video;Part 7 Kesimpulan;https://youtu.be/LKjzCDZdjJI
